Index,Class ID,Images Count,XC Recordings Count,Species Name,XC Species Name
0,315,116,169,Gadwall (Breeding male),Gadwall
1,317,120,243,Mallard (Breeding male),Mallard
2,352,120,283,Black-crowned Night-Heron (Adult),Black-crowned Night Heron
3,366,101,127,Common Gallinule (Adult),Common Gallinule
4,382,119,147,Northern Flicker (Yellow-shafted),Northern Flicker
5,400,117,335,Herring Gull (Adult),Herring Gull
6,450,120,365,Common Tern,Common Tern
7,481,111,134,Great Egret,Great Egret
8,491,106,138,Osprey,Osprey
9,513,101,353,Whimbrel,Whimbrel
10,527,117,339,Eurasian Collared-Dove,Eurasian Collared Dove
11,536,109,596,Barn Owl,Barn Owl
12,539,103,169,Great Horned Owl,Great Horned Owl
13,543,120,185,Barred Owl,Barred Owl
14,669,118,297,Dunlin (Nonbreeding/juvenile),Dunlin
15,746,120,208,Dark-eyed Junco (Slate-colored),Dark-eyed Junco
16,749,111,338,Fox Sparrow (Red),Fox Sparrow
17,753,119,298,American Robin (Adult),American Robin
18,756,120,262,Common Yellowthroat (Adult Male),Common Yellowthroat
19,764,119,146,White-throated Sparrow (White-striped),White-throated Sparrow
20,766,120,187,White-crowned Sparrow (Adult),White-crowned Sparrow
21,769,120,138,Chipping Sparrow (Breeding),Chipping Sparrow
22,774,109,213,Black-headed Grosbeak (Adult Male),Black-headed Grosbeak
23,775,111,127,Blue Grosbeak (Adult Male),Blue Grosbeak
24,777,120,125,Indigo Bunting (Adult Male),Indigo Bunting
25,790,120,186,House Finch (Adult Male),House Finch
26,793,119,130,Lesser Goldfinch (Adult Male),Lesser Goldfinch
27,796,119,831,House Sparrow (Male),House Sparrow
28,802,116,627,Common Raven,Northern Raven
29,810,106,413,Barn Swallow,Barn Swallow
30,813,109,127,Mountain Chickadee,Mountain Chickadee
31,822,120,141,Bushtit,Bushtit
32,830,120,288,Carolina Wren,Carolina Wren
33,831,118,315,Bewick's Wren,Bewick's Wren
34,832,114,791,House Wren,House Wren
35,835,120,186,Marsh Wren,Marsh Wren
36,836,120,138,Blue-gray Gnatcatcher,Blue-grey Gnatcatcher
37,847,107,210,Swainson's Thrush,Swainson's Thrush
38,848,120,181,Hermit Thrush,Hermit Thrush
39,851,120,158,Gray Catbird,Grey Catbird
40,852,120,281,Northern Mockingbird,Northern Mockingbird
41,856,120,560,European Starling (Nonbreeding Adult),Common Starling
42,860,103,147,Ovenbird,Ovenbird
43,862,111,129,Northern Waterthrush,Northern Waterthrush
44,867,114,134,Orange-crowned Warbler,Orange-crowned Warbler
45,871,109,656,Hooded Warbler,Hooded Warbler
46,875,120,202,Yellow Warbler,Yellow Warbler
47,877,108,284,Pine Warbler,Pine Warbler
48,886,115,172,Yellow-breasted Chat,Yellow-breasted Chat
49,888,120,459,Spotted Towhee,Spotted Towhee
50,889,110,183,Eastern Towhee,Eastern Towhee
51,900,120,194,Savannah Sparrow,Savannah Sparrow
52,902,120,557,Song Sparrow,Song Sparrow
53,910,120,213,Western Meadowlark,Western Meadowlark
54,914,120,159,Great-tailed Grackle,Great-tailed Grackle
55,923,105,149,Western Wood-Pewee,Western Wood Pewee
56,946,112,175,Warbling Vireo,Warbling Vireo
57,947,120,130,Red-eyed Vireo,Red-eyed Vireo
58,949,120,152,Steller's Jay,Steller's Jay
59,950,120,212,Blue Jay,Blue Jay
60,957,117,223,American Crow,American Crow
61,964,119,156,American Redstart (Female/juvenile),American Redstart
62,979,120,331,Northern Cardinal (Female/Juvenile),Northern Cardinal
63,987,120,337,Red-winged Blackbird (Female/juvenile),Red-winged Blackbird
