Class ID,Images Count,Spcies Name
987,120,Red-winged Blackbird (Female/juvenile)
873,120,Northern Parula
885,120,Wilson's Warbler
928,120,Black Phoebe
902,120,Song Sparrow
553,120,Red-bellied Woodpecker
766,120,White-crowned Sparrow (Adult)
1001,120,American Goldfinch (Female/Nonbreeding Male)
543,120,Barred Owl
512,120,Lesser Yellowlegs
521,120,Least Sandpiper
501,120,American Coot
979,120,Northern Cardinal (Female/Juvenile)
783,120,Brown-headed Cowbird (Male)
317,120,Mallard (Breeding male)
777,120,Indigo Bunting (Adult Male)
314,120,Wood Duck (Breeding male)
914,120,Great-tailed Grackle
773,120,Rose-breasted Grosbeak (Adult Male)
947,120,Red-eyed Vireo
746,120,Dark-eyed Junco (Slate-colored)
469,120,Wild Turkey
864,120,Black-and-white Warbler
935,120,Eastern Kingbird
950,120,Blue Jay
756,120,Common Yellowthroat (Adult Male)
824,120,White-breasted Nuthatch
655,120,"Northern Harrier (Female, immature)"
836,120,Blue-gray Gnatcatcher
852,120,Northern Mockingbird
823,120,Red-breasted Nuthatch
299,120,Red-tailed Hawk (Light morph adult)
830,120,Carolina Wren
350,120,Little Blue Heron (Adult)
879,120,Prairie Warbler
910,120,Western Meadowlark
848,120,Hermit Thrush
883,120,Black-throated Green Warbler
822,120,Bushtit
840,120,Ruby-crowned Kinglet
450,120,Common Tern
794,120,American Goldfinch (Breeding Male)
835,120,Marsh Wren
529,120,Mourning Dove
949,120,Steller's Jay
477,120,Anhinga
642,120,Common Loon (Nonbreeding/juvenile)
700,120,Red-tailed Hawk (Light morph immature)
819,120,Tufted Titmouse
320,120,Northern Shoveler (Breeding male)
952,120,Western Scrub-Jay
352,120,Black-crowned Night-Heron (Adult)
790,120,House Finch (Adult Male)
929,120,Eastern Phoebe
938,120,Northern Shrike
900,120,Savannah Sparrow
504,120,Killdeer
363,120,American Kestrel (Adult male)
559,120,Downy Woodpecker
769,120,Chipping Sparrow (Breeding)
451,120,Forster's Tern
522,120,Short-billed Dowitcher
772,120,Northern Cardinal (Adult Male)
989,120,Brewer's Blackbird (Male)
888,120,Spotted Towhee
657,120,Cooper's Hawk (Immature)
851,120,Gray Catbird
856,120,European Starling (Nonbreeding Adult)
355,120,"Bald Eagle (Adult, subadult)"
483,120,Tricolored Heron
672,120,"Ruby-throated Hummingbird (Female, immature)"
842,120,Eastern Bluebird
643,120,Horned Grebe (Nonbreeding/juvenile)
485,120,Green Heron
881,120,Townsend's Warbler
875,120,Yellow Warbler
397,120,Ring-billed Gull (Adult)
511,120,Willet
937,120,Loggerhead Shrike
554,119,Yellow-bellied Sapsucker
395,119,Laughing Gull (Breeding)
793,119,Lesser Goldfinch (Adult Male)
964,119,American Redstart (Female/juvenile)
673,119,"Black-chinned Hummingbird (Female, immature)"
762,119,Black-throated Blue Warbler (Adult Male)
753,119,American Robin (Adult)
764,119,White-throated Sparrow (White-striped)
561,119,Pileated Woodpecker
681,119,Northern Flicker (Red-shafted)
780,119,Red-winged Blackbird (Male)
973,119,White-crowned Sparrow (Immature)
926,119,Pacific-slope Flycatcher
381,119,Red-headed Woodpecker (Adult)
778,119,Painted Bunting (Adult Male)
796,119,House Sparrow (Male)
382,119,Northern Flicker (Yellow-shafted)
868,119,Nashville Warbler
354,118,White Ibis (Adult)
560,118,Hairy Woodpecker
357,118,Sharp-shinned Hawk (Adult )
